Title,Type,Episodes,Episode length,Genres,Age Limit,Studio,Author,Rate,Link
Проблемные заметки частного детектива Сёдзо Токи,OVA,Не указано,45 мин,"['Экшен', 'Детектив']",R+,Artland,Marley Caribu,5.5,https://shikimori.me/animes/6091-shiritsutantei-toki-shouzou-trouble-note-hard-loose
Семь небесных добродетелей: Спецвыпуски,Спешл,2,4 мин,"['Фэнтези', 'Этти']",R+,Bridge,Niθ,5.49,https://shikimori.me/animes/37172-nanatsu-no-bitoku-specials
Спортивный сбор мусора: Товарищеский матч Кубка мира,ONA,Не указано,28 мин,['Спорт'],G,AION,Shinnosuke Numata,5.51,https://shikimori.me/animes/51300-spogomi-world-cup-exhibition-match-hen
Наюта,OVA,Не указано,1 час 19 мин,"['Сёдзё', 'Экшен', 'Фантастика']",PG-13,Circus,Junko Sasaki,5.49,https://shikimori.me/animes/3480-nayuta
Твой выбор!,Фильм,Не указано,10 мин,"['Детское', 'Комедия']",G,Dentsu Inc.,Koji Yamamura,5.49,https://shikimori.me/animes/6797-docchi-ni-suru
Noobow: Kieta MedalАнимеДетско,OVA,Не указано,25 мин,"['Детское', 'Повседневность']",PG,Не смог,Hiromitsu Oota,5.49,https://shikimori.me/animes/18575-noobow-kieta-medal
Кинолаборатория студии «dwarf»,ONA,13,Не указано,['Детское'],G,dwarf,Не смог X2,5.49,https://shikimori.me/animes/36573-dwarf-movie-lab
Рок-шоу и «Joysound»,ONA,4,1 мин,"['Комедия', 'Музыка']",G,Не смог,Не смог X2,5.5,https://shikimori.me/animes/33855-show-by-rock-x-joysound
Усакамэ: Спецвыпуск,Спешл,Не указано,3 мин,"['Сёнен', 'Комедия', 'Спорт']",PG-13,Millepensee,Не смог X2,5.5,https://shikimori.me/animes/34615-usakame-special
Фруктовые самураи,TV Сериал,13,3 мин,"['Экшен', 'Комедия', 'Исторический', 'Самураи']",PG,happyproject,Kiminori Tagami,5.49,https://shikimori.me/animes/30173-fruity-samurai
Из одной комнаты: Спецвыпуск,Спешл,Не указано,4 мин,['Повседневность'],PG-13,Typhoon Graphics,Не смог X2,5.49,https://shikimori.me/animes/34733-one-room-special
Компания по борьбе с духами: Таинственный великолепный пролог,Спешл,Не указано,11 мин,"['Приключения', 'Комедия', 'Сверхъестественное']",R+,Madhouse,Не смог X2,5.5,https://shikimori.me/animes/15743-yuugen-kaisha-jiken-file-00-hajimari-wa-ayashiku-mo-hanayaka-ni
Таинственный барабан,Фильм,Не указано,18 мин,['Детское'],G,Не смог,Tadahito Mochinaga,5.49,https://shikimori.me/animes/29919-fushigi-na-taiko
Сногсшибательно!,TV Сериал,8,14 мин,"['Комедия', 'Этти']",R+,Imagin,Takeo Takahashi,5.49,https://shikimori.me/animes/964-hit-wo-nerae
После школы Тинкербелл,OVA,Не указано,46 мин,"['Комедия', 'Драма', 'Детектив', 'Романтика', 'Повседневность', 'Школа']",PG-13,Ashi,Hideyuki Tanaka,5.49,https://shikimori.me/animes/13299-houkago-no-tinker-bell
Истребители демонов: Крайность,ONA,Не указано,5 мин,"['Экшен', 'Фэнтези', 'Боевые']",PG-13,4C,Hiroyuki Itou,5.49,https://shikimori.me/animes/25873-toukiden-kiwami
Волчьи дети Амэ и Юки x House Shokuhin,Спешл,Не указано,Не указано,['Повседневность'],G,Chizu,Не смог X2,5.49,https://shikimori.me/animes/37418-ookami-kodomo-no-ame-to-yuki-x-house-shokuhin-stew-cm
"Тише, пожалуйста!",Фильм,Не указано,4 мин,['Детское'],G,Не смог,Tadanari Okamoto,5.49,https://shikimori.me/animes/29796-oshizuka-ni
Оружейная лавка для леди и джентльменов 2,ONA,12,6 мин,"['Комедия', 'Фэнтези', 'Этти']",PG-13,IMAGICA Lab.,Fumi Ayamiya,5.49,https://shikimori.me/animes/42862-otona-no-bouguya-san-ii
Плюс 50000 лет,Фильм,Не указано,9 мин,['Фантастика'],G,Otogi,Shinichi Suzuki,5.49,https://shikimori.me/animes/29898-plus-50000-nen
Пингвинёнок Пороро 4,TV Сериал,26,11 мин,"['Детское', 'Машины']",G,Не смог,Не смог X2,5.49,https://shikimori.me/animes/27457-porong-porong-pororo-4
Принцесса Минерва,OVA,Не указано,44 мин,"['Приключения', 'Комедия', 'Фэнтези', 'Пародия']",R+,Group TAC,Mihiro Yamaguchi,5.49,https://shikimori.me/animes/2529-princess-minerva
Ёсимахо,ONA,15,1 мин,['Повседневность'],PG-13,DLE,Kokone Nata,5.51,https://shikimori.me/animes/48892-yoshimaho
"Делай, что говорят рыбы",Фильм,Не указано,5 мин,"['Безумие', 'Драма']",PG-13,Не смог,Onohana,5.49,https://shikimori.me/animes/34634-sakana-no-iu-koto-wo-kiku
Марс,TV Сериал,13,25 мин,"['Сёнен', 'Фантастика', 'Меха']",PG-13,Plum,Mitsuteru Yokoyama,5.49,https://shikimori.me/animes/1712-shinseikiden-mars
Времена года,ONA,Не указано,1 мин,['Повседневность'],G,Не смог,Koji Yamamura,5.49,https://shikimori.me/animes/40163-sonoda
Aitata BocchiАнимеБезуми,Спешл,Не указано,11 мин,"['Безумие', 'Драма']",PG-13,Не смог,Onohana,5.48,https://shikimori.me/animes/34631-aitata-bocchi
Странности+: Спецвыпуск,Спешл,Не указано,3 мин,"['Дзёсей', 'Комедия', 'Повседневность']",PG-13,Seven,Не смог X2,5.49,https://shikimori.me/animes/23679-strange-special
Кто там?,Фильм,Не указано,21 мин,['Детское'],G,Не смог,Tadanari Okamoto,5.48,https://shikimori.me/animes/29791-are-wa-dare
Ночь на Танэямагахаре,Фильм,Не указано,27 мин,"['Детское', 'Фэнтези', 'Повседневность', 'Психологическое']",PG,Ghibli,Kenji Miyazawa,5.49,https://shikimori.me/animes/2767-taneyamagahara-no-yoru
Похищение кумира,OVA,Не указано,26 мин,"['Сёнен', 'Драма']",PG-13,AIC,Kenichi Yatagai,5.48,https://shikimori.me/animes/2220-be-boy-kidnapp-n-idol
Ангел-убийца Джибрил PV,Спешл,Не указано,1 мин,['Фэнтези'],PG-13,Madhouse,Не смог X2,5.5,https://shikimori.me/animes/51157-satsuriku-tenshi-jibril-pv
История курчавой собачки,Спешл,Не указано,1 мин,['Детское'],G,Не смог,Asami Ike,5.49,https://shikimori.me/animes/36279-the-curlydog-story
Ao no Butai ni Omoi wo YoseteАнимеКомеди,ONA,3,1 мин,['Комедия'],PG-13,Не смог,Не смог X2,5.5,https://shikimori.me/animes/52732-ao-no-butai-ni-omoi-wo-yosete
Полицейская доставка: Полицейский корпус доставки города Ниситокё,ONA,Не указано,10 мин,['Экшен'],PG-13,IMAGICA Lab.,Takashi Sano,5.5,https://shikimori.me/animes/48575-deliver-police-nishitokyo-shi-deliver-keisatsutai
Миллион Артуров: Спецвыпуски,Спешл,3,1 мин,"['Комедия', 'Фэнтези', 'Этти', 'Пародия']",PG-13,Gathering,Не смог X2,5.49,https://shikimori.me/animes/33779-jakusansei-million-arthur-specials
Манга по выживанию,ONA,Не указано,1 мин,"['Сёнен', 'Экшен', 'Комедия']",PG,Toei,Не смог X2,5.49,https://shikimori.me/animes/39618-kagaku-manga-survival
Бумажный кролик x Боруто: Новое поколение Наруто,ONA,Не указано,1 мин,['Комедия'],G,Не смог,Masashi Kishimoto,5.49,https://shikimori.me/animes/36564-kamiusagi-rope-x-boruto-naruto-next-generations
Каприкорн,OVA,Не указано,47 мин,"['Сёнен', 'Приключения', 'Комедия', 'Фэнтези', 'Фантастика']",PG-13,Aubec,Jouji Manabe,5.48,https://shikimori.me/animes/2053-capricorn
Торжество и хорал,Фильм,Не указано,5 мин,['Музыка'],G,Не смог,Yukie Nakauchi,5.48,https://shikimori.me/animes/32345-celebration-and-chorale
Проверка моды Тиюки,ONA,9,1 мин,['Комедия'],PG-13,AQUA ARIS,Kotoba Inoya,5.48,https://shikimori.me/animes/43413-chiyuki-no-fashion-check
Миллион Артуров: Диффузия,ONA,Не указано,1 мин,"['Фэнтези', 'Игры', 'Музыка']",G,Не смог,Не смог X2,5.48,https://shikimori.me/animes/36642-kakusansei-million-arthur
Королевство хаоса: Рождённый убивать,OVA,4,29 мин,['Фэнтези'],PG-13,Idea Factory,Idea Factory,5.48,https://shikimori.me/animes/3267-kingdom-of-chaos-born-to-kill
Мы свяжем лодку: Превью эпизодов,ONA,10,Не указано,['Комедия'],G,Zexcs,Shion Miura,5.48,https://shikimori.me/animes/40014-fune-wo-amu-yokoku
Совершенно частный урок,OVA,2,39 мин,"['Комедия', 'Романтика', 'Этти', 'Школа']",R+,AIC,Kazuto Okada,5.48,https://shikimori.me/animes/1271-kyoukasho-ni-nai
Грандик,OVA,Не указано,45 мин,"['Приключения', 'Фэнтези']",R-17,Group TAC,Kohime Ohse,5.48,https://shikimori.me/animes/2365-grandeek
Мусаси Гандо,TV Сериал,26,25 мин,"['Приключения', 'Фэнтези', 'Самураи']",PG-13,ACC,Yuuki Kinoshita,5.48,https://shikimori.me/animes/1200-gun-dou-musashi
Ле Деус,OVA,Не указано,48 мин,"['Экшен', 'Приключения', 'Фантастика', 'Меха']",PG-13,Ashi,Hiroshi Negishi,5.48,https://shikimori.me/animes/4058-makyou-gaiden-le-deus
Маргинальная служба,TV Сериал,12,22 мин,"['Экшен', 'Фантастика']",PG-13,3Hz,Masayuki Sakoi,5.49,https://shikimori.me/animes/53587-the-marginal-service
Лабиринт,Фильм,Не указано,2 мин,Не указано,G,Не смог,Atsushi Aono,5.48,https://shikimori.me/animes/28653-maze
Моя первая любовь — монстр,TV Сериал,12,24 мин,"['Сёдзё', 'Комедия', 'Романтика', 'Школа']",PG-13,Deen,Akira Hiyoshimaru,5.48,https://shikimori.me/animes/31109-hatsukoi-monster
Мини-жрицы: Эпизод 0,Спешл,Не указано,3 мин,"['Экшен', 'Пародия']",G,Project No.9,Не смог X2,5.48,https://shikimori.me/animes/38981-mini-toji-kanami-mihono-no-toji-miko-taidou-hen-205-byou-de-shoukai-tokuban
Накоруру,OVA,Не указано,28 мин,"['Драма', 'Фэнтези', 'Сверхъестественное', 'Исторический']",R+,Arms,Katsuma Kanazawa,5.48,https://shikimori.me/animes/1937-nakoruru-ano-hito-kara-no-okurimono
Сложности жизни: Идеальный взрыв,OVA,10,5 мин,"['Комедия', 'Повседневность']",G,CoMix Wave Films,Не смог X2,5.48,https://shikimori.me/animes/17359-peeping-life-the-perfect-explosion
Трансформеры: Мастера-роботы,Спешл,2,6 мин,['Меха'],G,Actas,Kouji Itou,5.48,https://shikimori.me/animes/7862-transformers-robot-masters
Утюрэй!,TV Сериал,12,3 мин,"['Комедия', 'Фантастика', 'Повседневность']",PG-13,Robot Communications,Takuya Inaba,5.48,https://shikimori.me/animes/6947-uchurei
Жестокий Джек: Адский ветер,OVA,Не указано,54 мин,"['Экшен', 'Драма', 'Ужасы']",R+,88,Go Nagai,5.48,https://shikimori.me/animes/1343-violence-jack-hell-s-wind-hen
Дневник тренировок Эбиси,TV Сериал,12,2 мин,"['Комедия', 'Работа']",PG,Fanworks,Ryousuke Aoike,5.46,https://shikimori.me/animes/44040-abciee-shuugyou-nikki
Девушки X,ONA,8,11 мин,"['Комедия', 'Повседневность', 'Школа']",PG-13,Lambert,Daisuke Kikuta,5.48,https://shikimori.me/animes/22757-x-maiden
Группа Зигги,Фильм,Не указано,1 час 10 мин,"['Приключения', 'Детектив', 'Музыка']",PG-13,Deen,Torao Arai,5.48,https://shikimori.me/animes/11093-ziggy-soreyuke-r-r-band
Исчезнувший город,TV Сериал,12,23 мин,"['Экшен', 'Приключения', 'Драма', 'Фэнтези', 'Детектив']",PG-13,Madhouse,Shigeyuki Miya,5.48,https://shikimori.me/animes/37952-shoumetsu-toshi
Токийская фантазия,Фильм,Не указано,8 мин,"['Безумие', 'Музыка']",G,Не смог,Hal Fukushima,5.48,https://shikimori.me/animes/29780-tokyo-fantasia
Ая и ведьма,Спешл,Не указано,1 час 22 мин,Не указано,PG,Ghibli,Diana Wynne Jones,5.47,https://shikimori.me/animes/42143-aya-to-majo
Кровопийцы,TV Сериал,12,24 мин,"['Экшен', 'Сверхъестественное', 'Вампиры']",R-17,Creators in Pack,Yoshimi Umino,5.47,https://shikimori.me/animes/33985-bloodivores
And2! And2!АнимеМузык,ONA,Не указано,34 мин,"['Повседневность', 'Музыка']",PG-13,Seven Stone,Не смог X2,5.46,https://shikimori.me/animes/38346-and2-and2
В ведре,ONA,Не указано,7 мин,['Фэнтези'],G,Не смог,Rabbit MACHINE,5.47,https://shikimori.me/animes/37544-bucket-no-naka-no-kaka
Крышечная революция Бутылкомэна,ONA,25,5 мин,"['Детское', 'Экшен', 'Игры']",G,Gaina,Takeshi Ninomiya,5.47,https://shikimori.me/animes/42890-cap-kakumei-bottleman
Супермен Локэ: Зеркальное кольцо,OVA,Не указано,1 ча,"['Экшен', 'Фантастика', 'Супер']",PG-13,SIDO LIMITED,Yuki Hijiri,5.47,https://shikimori.me/animes/4967-choujin-locke-mirror-ring
Енот-мошенник,Фильм,Не указано,5 мин,"['Экшен', 'Сверхъестественное', 'Исторический']",G,Не смог,Yasuji Murata,5.47,https://shikimori.me/animes/35399-kamishibai-itazura-tanuki-no-maki
Рука Каппы,Фильм,Не указано,5 мин,['Фэнтези'],G,Не смог,Ryo Hirano,5.47,https://shikimori.me/animes/31506-kappa-no-ude
Движущиеся картинки,Фильм,Не указано,Не указано,['Исторический'],G,Не смог,Не смог X2,5.47,https://shikimori.me/animes/33187-katsudou-shashin
Господин Убийца,TV Сериал,10,3 мин,"['Сэйнэн', 'Экшен', 'Комедия', 'Триллер', 'Полиция']",PG-13,Opera House,Masahide Ichijo,5.47,https://shikimori.me/animes/20329-koroshiya-san-the-hired-gun
Ужасный биочеловек: Последний учитель,OVA,Не указано,56 мин,"['Экшен', 'Приключения', 'Комедия', 'Сверхъестественное', 'Школа']",PG-13,J.C.Staff,Toyoo Ashida,5.47,https://shikimori.me/animes/2780-kyoufu-no-bio-ningen-saishuu-kyoushi
Легенда о святом мече: Легенда маны — Каплевидный кристалл,TV Сериал,12,23 мин,['Приключения'],PG-13,Graphinica,Kouhei Kawase,5.48,https://shikimori.me/animes/49304-seiken-densetsu-legend-of-mana-the-teardrop-crystal
Глаза Марса,Фильм,Не указано,1 час 15 мин,"['Приключения', 'Драма', 'Фантастика']",PG-13,Toei,Iku Suzuki,5.47,https://shikimori.me/animes/1154-mother-saigo-no-shoujo-eve
Во искоренение вождения в нетрезвом виде,Спешл,Не указано,Не указано,['Драма'],G,Не смог,Tekken,5.47,https://shikimori.me/animes/34122-minna-de-bokumetsu-inshu-unten
"Клеопатра, королева секса",Фильм,Не указано,1 час 52 мин,"['Фантастика', 'Исторический']",R+,Mushi,Osamu Tezuka,5.46,https://shikimori.me/animes/2755-cleopatra
Приключение ниндзя,Фильм,Не указано,2 часа 15 мин,['Экшен'],R-17,Не смог,Sanpei Shirato,5.47,https://shikimori.me/animes/5232-ninja-bugei-chou
Принц и белый конь,OVA,Не указано,25 мин,"['Приключения', 'Исторический', 'Музыка']",G,Toei,Daisaku Ikeda,5.46,https://shikimori.me/animes/22329-daisougen-to-hakuba
Ослик,Фильм,Не указано,14 мин,['Приключения'],G,Не смог,Yasuji Murata,5.47,https://shikimori.me/animes/34982-roba
Последовательность,OVA,Не указано,42 мин,"['Сёдзё', 'Романтика', 'Фантастика']",G,Ashi,Ken Mizuki,5.47,https://shikimori.me/animes/2096-sequence
Глубоководный флот: Субмарина 707,OVA,Не указано,46 мин,"['Экшен', 'Приключения', 'Фантастика', 'Военное']",PG-13,Knack,Satoru Ozawa,5.47,https://shikimori.me/animes/16251-shinkai-no-kantai-submarine-707
Я — Рэйко Сиратори!,OVA,Не указано,44 мин,"['Комедия', 'Романтика']",PG-13,Ajia-do,Yumiko Suzuki,5.47,https://shikimori.me/animes/2712-shiratori-reiko-de-gozaimasu
Звериные Олимпийские игры,Фильм,Не указано,13 мин,"['Комедия', 'Спорт']",G,Не смог,Yasuji Murata,5.47,https://shikimori.me/animes/7498-doubutsu-olympic-taikai
Ганбастер: Дотянись до неба! 2 — Уроки науки,Спешл,3,3 мин,['Фантастика'],PG-13,Gainax,Не смог X2,5.47,https://shikimori.me/animes/20547-top-wo-nerae-2-kagaku-kouza
Кунг-фу Кролик,Фильм,Не указано,1 час 28 мин,"['Экшен', 'Приключения', 'Комедия', 'Боевые']",PG,Не смог,Не смог X2,5.47,https://shikimori.me/animes/32889-tu-xia-chuanqi
Дьявол и Дьявол: Реклама Shounen Sunday,Спешл,Не указано,Не указано,"['Сёнен', 'Экшен', 'Комедия', 'Сверхъестественное', 'Демоны', 'Супер']",PG-13,Не смог,Yuuki Miyoshi,5.47,https://shikimori.me/animes/40345-shounen-sunday-cm-devil-devil
Сияющее сердце,OVA,Не указано,44 мин,"['Приключения', 'Комедия', 'Космос']",PG-13,Anime R,Seiji Okuda,5.47,https://shikimori.me/animes/10355-twinkle-heart-gingakei-made-todokanai
Токива Китарэри!,Спешл,Не указано,Не указано,"['Сёнен', 'Экшен']",PG-13,J.C.Staff,Syun Matsuena,5.47,https://shikimori.me/animes/32564-shounen-sunday-cm-tokiwa-kitareri-cm
Добрый львёнок,Фильм,Не указано,27 мин,"['Детское', 'Фэнтези', 'Музыка']",G,Mushi,Takashi Yanase,5.47,https://shikimori.me/animes/12789-yasashii-lion
Каппа Каватаро,Фильм,Не указано,18 мин,"['Детское', 'Сверхъестественное']",G,The National Film Center Japan,Yasuji Mori,5.46,https://shikimori.me/animes/23639-kappa-kawatarou
Король фей,OVA,Не указано,1 ча,"['Сёдзё', 'Фэнтези']",R+,Madhouse,Ryouko Yamagishi,5.47,https://shikimori.me/animes/7818-yousei-ou
Своенравные идолы,OVA,Не указано,50 мин,['Музыка'],R+,Toei,Kenichi Kotani,5.46,https://shikimori.me/animes/21749-kimama-ni-idol
Цифровой сок,OVA,6,3 мин,"['Комедия', 'Психологическое']",R+,4C,Osamu Kobayashi,5.46,https://shikimori.me/animes/1105-digital-juice
Беспокойные сердца: Пародия на Гандама,Спешл,Не указано,2 мин,"['Фантастика', 'Меха', 'Пародия', 'Космос']",R+,Fantasia,Age,5.46,https://shikimori.me/animes/9170-kimi-ga-nozomu-eien-gundam-parody
Двойной Джей,TV Сериал,11,4 мин,"['Сёнен', 'Комедия', 'Школа']",PG-13,DLE,Eiji Nonaka,5.46,https://shikimori.me/animes/10838-double-j
Привидение Докуро,ONA,Не указано,11 мин,"['Детское', 'Сверхъестественное']",G,Cyclone Graphics,Michiya Katou,5.46,https://shikimori.me/animes/30324-obake-no-dokurou
Ослепительный Люпен: Пилотная версия,Спешл,Не указано,2 мин,"['Комедия', 'Пародия']",PG-13,TMS,Monkey Punch,5.46,https://shikimori.me/animes/31984-lupin-shanshei-pilot
Мастера дуэлей VSRF,TV Сериал,51,24 мин,"['Детское', 'Экшен', 'Приключения', 'Комедия', 'Фэнтези']",PG-13,Ascension,Shigenobu Matsumoto,5.46,https://shikimori.me/animes/32582-duel-masters-vsrf
Детектив Ягодички: Погоня за авторикшей в портовый город,ONA,Не указано,5 мин,"['Детское', 'Комедия', 'Детектив']",PG,Toei,Не смог X2,5.46,https://shikimori.me/animes/36969-oshiri-tantei-mina-to-machi-no-tuk-tuk-chase
Мини-футбол для мальчиков,TV Сериал,12,24 мин,['Спорт'],PG-13,Diomedéa,Yukina Hiiro,5.46,https://shikimori.me/animes/40488-futsal-boys
"Доброе утро, Алтея",OVA,Не указано,52 мин,"['Экшен', 'Фантастика', 'Меха', 'Космос']",R+,animate Film,Takehiko Itou,5.46,https://shikimori.me/animes/2482-good-morning-althea
"Гора, где покинуты старые женщины",Фильм,Не указано,18 мин,['Драма'],G,Не смог,Zenjirou Yamamoto,5.46,https://shikimori.me/animes/27573-ubasuteyama
Король Лис,Фильм,Не указано,19 мин,Не указано,G,Dentsu Inc.,Tadahito Mochinaga,5.46,https://shikimori.me/animes/29922-ou-sama-ninatta-kitsune
Виртуальная звезда 2000,OVA,6,5 мин,"['Экшен', 'Музыка']",R+,Pony Canyon,Не смог X2,5.46,https://shikimori.me/animes/22561-virtual-star-2000
OZ-мафия!,TV Сериал,12,5 мин,"['Сёдзё', 'Фэнтези', 'Романтика', 'Гарем', 'Исторический']",PG-13,Creators in Pack,Hisayoshi Hirasawa,5.46,https://shikimori.me/animes/32697-ozmafia
"Беги, Мелос!",Фильм,Не указано,18 мин,['Приключения'],G,Не смог,Osamu Dazai,5.46,https://shikimori.me/animes/35497-hashire-melos
Вирус,TV Сериал,12,24 мин,"['Экшен', 'Приключения', 'Фантастика', 'Меха', 'Полиция']",R+,Plum,Masami Oobari,5.46,https://shikimori.me/animes/2364-virus-virus-buster-serge
Коготь орла. Фильм 1,Фильм,Не указано,1 час 13 мин,"['Комедия', 'Пародия', 'Супер']",G,DLE,FROGMAN,5.46,https://shikimori.me/animes/8355-himitsukessha-taka-no-tsume-the-movie-1-soutou-wa-nido-shinu
Проект «КП»: Кладезь перерождения,Спешл,Не указано,23 мин,['Меха'],PG-13,Не смог,Osamu Kamei,5.46,https://shikimori.me/animes/32950-rs-keikaku-rebirth-storage
Самурай-всадник,OVA,Не указано,47 мин,"['Экшен', 'Драма', 'Самураи']",R-17,Не смог,Shinichi Sugimura,5.46,https://shikimori.me/animes/9993-samuraider-nazo-no-tenkousei
Битва драконов четырёх колёс,TV Сериал,64,24 мин,['Детское'],G,Не смог,Не смог X2,5.46,https://shikimori.me/animes/31698-zhan-long-si-qu
Маг-обманщик из другого мира,TV Сериал,12,23 мин,"['Экшен', 'Приключения', 'Фэнтези']",PG-13,Encourage Films,Takeru Uchida,5.46,https://shikimori.me/animes/z37744-isekai-cheat-magician
Заметки Теслы: Курс подготовки агентов Микки и Оливера,ONA,15,1 мин,['Комедия'],PG-13,Gambit,Не смог X2,5.48,https://shikimori.me/animes/50258-tesla-note-mickey-to-oliver-no-agent-yousei-kouza
Перевёртыш,Спешл,Не указано,Не указано,"['Безумие', 'Музыка']",G,Не смог,Takashi Ohashi,5.46,https://shikimori.me/animes/40002-shapeshifter
Пингви-Гин: Реклама Shounen Sunday,Спешл,Не указано,Не указано,"['Сёнен', 'Комедия', 'Сверхъестественное']",PG-13,Не смог,Tokihiko Matsuura,5.46,https://shikimori.me/animes/40346-shounen-sunday-cm-tuxedo-gin
Как смотреть фейерверк и мороженое Lotte,Спешл,Не указано,Не указано,['Повседневность'],G,Shaft,Не смог X2,5.46,https://shikimori.me/animes/36162-sou-uchiage-hanabi-shita-kara-miru-ka-yoko-kara-miru-ka-hen
Новый соломинкозавр,Спешл,Не указано,5 мин,"['Детское', 'Приключения', 'Фэнтези', 'Фантастика']",G,NHK,Не смог X2,5.46,https://shikimori.me/animes/29475-straw-saurus-neo
Супер Бернард,Спешл,Не указано,7 мин,"['Детское', 'Комедия', 'Супер']",G,RG Animation,Не смог X2,5.46,https://shikimori.me/animes/26011-super-backkom
"Иволга, богомол и цикада",Фильм,Не указано,5 мин,['Детское'],G,Shanghai Animation Film,Не смог X2,5.46,https://shikimori.me/animes/31972-tang-lang-bu-chan
Гром,Фильм,Не указано,5 мин,['Безумие'],G,Не смог,Takashi Itou,5.46,https://shikimori.me/animes/31259-thunder
Алиса или Алиса: Рекап,Спешл,Не указано,3 мин,"['Сэйнэн', 'Комедия', 'Повседневность']",PG-13,Не смог,Не смог X2,5.45,https://shikimori.me/animes/41689-alice-or-alice-recap
Мальчик и синее море,Фильм,Не указано,40 мин,['Повседневность'],G,Shinano Kikaku,Daisaku Ikeda,5.45,https://shikimori.me/animes/24869-aoi-umi-to-shounen
Арабские ночи: Приключения Синдбада. Фильм,Фильм,Не указано,1 час 21 мин,"['Экшен', 'Приключения', 'Фэнтези']",PG-13,Toei,Akira Daikuhara,5.45,https://shikimori.me/animes/7786-arabian-night-sindbad-no-bouken
Зеркало Арей: Путь в глубины космоса,Фильм,Не указано,26 мин,"['Экшен', 'Приключения', 'Фантастика', 'Космос']",G,Toei,Leiji Matsumoto,5.45,https://shikimori.me/animes/7156-arei-no-kagami-way-to-the-virgin-space
Феликс-младший,TV Сериал,65,4 мин,"['Детское', 'Комедия']",G,Radix,Junichiro Nishikawa,5.45,https://shikimori.me/animes/8220-baby-felix
Kaeru no Pickles: Kimochi no IroАнимеСериалыДетско,TV Сериал,12,3 мин,"['Детское', 'Повседневность']",G,Не смог,Shingo Asai,5.46,https://shikimori.me/animes/42717-kaeru-no-pickles-kimochi-no-iro
Цепные хроники x Mitsubishi Tokyo UFJ-VISA Debit,ONA,3,Не указано,['Комедия'],G,PuYUKAI,Не смог X2,5.46,https://shikimori.me/animes/52944-chain-chronicle-x-mitsubishi-tokyo-ufj-visa-debit
Доктор Титибуяма,TV Сериал,2,29 мин,"['Комедия', 'Этти', 'Пародия', 'Сэйнэн']",R+,Production Reed,Keiichi Tanaka,5.45,https://shikimori.me/animes/19121-doctor-chichibuyama
Тщеславный генерал,Фильм,Не указано,24 мин,['Драма'],G,Shanghai Animation Film,Te Wei,5.45,https://shikimori.me/animes/29623-jiaoao-de-jiangjun
Франческа: Амбициозная девушка,TV Сериал,24,11 мин,"['Комедия', 'Фэнтези']",PG-13,Telecom Animation Film,Yuuichirou Yano,5.45,https://shikimori.me/animes/22955-francesca
Мобильный воин Гандам: Сумеречный Аксис — Красное пятно,Фильм,Не указано,26 мин,"['Экшен', 'Фантастика', 'Меха', 'Военное', 'Космос']",PG-13,Sunrise,Yoshiyuki Tomino,5.45,https://shikimori.me/animes/36436-kidou-senshi-gundam-twilight-axis-akaki-zanei
Сногсшибательно! Спецвыпуски,Спешл,4,14 мин,"['Комедия', 'Этти']",PG-13,Imagin,Takeo Takahashi,5.45,https://shikimori.me/animes/1741-hit-wo-nerae-specials
Концерт Полеша,ONA,2,1 мин,"['Фэнтези', 'Музыка']",G,Не смог,Не смог X2,5.45,https://shikimori.me/animes/33527-kubbe-no-ongakukai
Я люблю небо,Спешл,Не указано,4 мин,"['Детское', 'Комедия']",G,RG Animation,Не смог X2,5.45,https://shikimori.me/animes/25975-i-love-sky
Сделано в Японии,Фильм,Не указано,9 мин,['Комедия'],G,Не смог,Renzo Kinoshita,5.45,https://shikimori.me/animes/30673-made-in-japan
Контроллер контроллера,Фильм,Не указано,7 мин,"['Безумие', 'Комедия', 'Машины', 'Музыка']",G,Не смог,Densuke28,5.45,https://shikimori.me/animes/38424-controller-of-controller
Девочка-волшебница Лиза Преттия,ONA,Не указано,2 мин,Не указано,G,Не смог,Не смог X2,5.45,https://shikimori.me/animes/38685-mahou-shoujo-liese-prettia
Пожиратель цветов,ONA,Не указано,1 мин,"['Безумие', 'Музыка']",G,TYMOTE,Hiroshi Yamakawa,5.45,https://shikimori.me/animes/40338-iro-wo-kuu-akuma
Любовь принцессы Мэгохимэ,ONA,3,11 мин,"['Фэнтези', 'Исторический']",PG-13,Gaina,Mitsuo Fukuda,5.45,https://shikimori.me/animes/39629-megohime
Поверженные королевы: Спецвыпуски,Спешл,4,6 мин,['Этти'],R+,Arms,Shin Itagaki,5.45,https://shikimori.me/animes/18231-vanquished-queens-specials
Полный сбор! Академия Фальком 2: Спецвыпуск,Спешл,Не указано,2 мин,"['Сэйнэн', 'Комедия', 'Пародия', 'Школа']",PG-13,DAX,Daisuke Arakubo,5.45,https://shikimori.me/animes/30489-minna-atsumare-falcom-gakuen-sc-special
Дурацкие мировые новости ONA,ONA,6,5 мин,"['Комедия', 'Повседневность', 'Работа']",PG-13,CoMix Wave Films,Haru Yamada,5.45,https://shikimori.me/animes/24437-world-fool-news
Дерево мужества,Фильм,Не указано,16 мин,['Детское'],G,Не смог,Tadanari Okamoto,5.45,https://shikimori.me/animes/29833-mochimochi-no-ki
Моэкан,OVA,3,31 мин,"['Комедия', 'Романтика']",R+,KSS,Не смог X2,5.45,https://shikimori.me/animes/625-moekan-the-animation
